,director_name,actor_2_name,actor_1_name,clean_title,cast_total_facebook_likes,actor_3_name,language,country,content_rating,imdb_score,movieId,year,genres,budget,original_title,popularity,revenue,title,language_n,year_n,country_n,content_rating_n,director_name_n,actor_1_name_n,actor_2_name_n,actor_3_name_n
2659,Jason Friedberg,Carmen Electra,David Carradine,epic movie,4293,Fred Willard,English,USA,PG-13,2.3,50798,2007,Adventure|Comedy,20000000,Epic Movie,5.549608999999999,86865564.0,Epic Movie,1,5,1,1,4,6,9,8
2660,Neil LaBute,Justin Chambers,Jay Hernandez,lakeview terrace,2382,Robert Pine,English,USA,PG-13,6.1,61705,2008,Thriller|Drama|Crime,20000000,Lakeview Terrace,13.857624,27640028.0,Lakeview Terrace,1,5,1,1,3,10,1,2
2661,Kevin Rodney Sullivan,James Pickens Jr.,Richard Lawson,how stella got her groove back,1660,Barry Shabaka Henley,English,USA,R,5.5,2154,1998,Drama|Comedy|Romance,20000000,How Stella Got Her Groove Back,3.645263,37672350.0,How Stella Got Her Groove Back,1,5,1,4,2,1,2,1
2662,Peter Hewitt,George Carlin,Keanu Reeves,bill & ted's bogus journey,20188,Alex Winter,English,USA,PG,6.2,4980,1991,Sci-Fi|Music|Adventure|Fantasy|Comedy,0,Bill & Ted's Bogus Journey,7.256292999999999,0.0,Bill & Ted's Bogus Journey,1,4,1,2,2,13,6,1
2663,Barry Levinson,Tina Fey,Robin Williams,man of the year,52571,Amy Poehler,English,USA,PG-13,6.2,137,1995,Romance|Thriller|Drama|Documentary|Comedy,0,Man of the Year,0.5404359999999999,209935.0,Man of the Year,1,5,1,1,12,23,7,12
2667,Gregory Nava,Constance Marie,Jon Seda,selena,1735,Jacob Vargas,English,USA,PG,6.7,1487,1997,Drama|Music|Biography|Musical,20000000,Selena,7.390306,60000000.0,Selena,1,5,1,2,1,3,1,5
2668,Jason Friedberg,Dave Foley,Diedrich Bader,vampires suck,2898,Anneliese van der Pol,English,USA,PG-13,3.5,80350,2010,Comedy,20000000,Vampires Suck,8.129407,80547866.0,Vampires Suck,1,5,1,1,4,7,2,1
2669,Alejandro G. Iñárritu,Harriet Walter,Brad Pitt,babel,11248,Dermot Crowley,English,France,R,7.5,46723,2006,Thriller|Drama,25000000,Babel,12.60853,135330182.0,Babel,1,5,8,4,3,24,1,1
2670,Shawn Levy,Abigail Spencer,Tina Fey,this is where i leave you,4662,Jane Fonda,English,USA,R,6.6,114601,2014,Drama|Comedy,19800000,This Is Where I Leave You,11.313659,41296320.0,This Is Where I Leave You,1,5,1,4,9,7,3,5
2671,John Patrick Shanley,Meryl Streep,Philip Seymour Hoffman,doubt,33903,Carrie Preston,English,USA,PG-13,7.5,64575,2008,Drama|Mystery,20000000,Doubt,9.278263,50907234.0,Doubt,1,5,1,1,1,18,15,2
2672,Trey Parker,Maurice LaMarche,Jeremy Shada,team america: world police,2609,Trey Parker,English,USA,R,7.2,8917,2004,Action|Comedy|Adventure|Animation,32000000,Team America: World Police,11.428941,50907422.0,Team America: World Police,1,5,1,4,2,1,2,2
2673,John Luessenhop,Keram Malicki-Sánchez,Gunnar Hansen,texas chainsaw 3d,1945,Shaun Sipos,English,USA,R,4.8,99721,2013,Horror|Mystery|Thriller,20000000,Texas Chainsaw 3D,7.214828,47241945.0,Texas Chainsaw 3D,1,5,1,4,2,1,1,2
2674,Jon Amiel,Holly Hunter,William McNamara,copycat,12338,Harry Connick Jr.,English,USA,R,6.6,22,1995,Mystery|Thriller|Crime|Horror|Drama,0,Copycat,10.701801,0.0,Copycat,1,5,1,4,2,1,9,7
2675,Joshua Logan,Lee Marvin,Clint Eastwood,paint your wagon,17775,Ray Walston,English,USA,PG-13,6.7,4709,1969,Romance|Western|Drama|Comedy|Musical,20000000,Paint Your Wagon,10.648872,31678778.0,Paint Your Wagon,1,3,1,1,1,13,3,2
2676,Gus Van Sant,Denis O'Hare,James Franco,milk,13189,Lucas Grabeel,English,USA,R,7.6,63876,2008,Drama|History|Biography,20000000,Milk,10.680121,54586584.0,Milk,1,5,1,4,7,21,7,4
2679,Steve Beck,Ron Eldard,Isaiah Washington,ghost ship,1083,Francesca Rettondini,English,USA,R,5.5,5784,2002,Horror,35000000,Ghost Ship,13.955376000000001,68349884.0,Ghost Ship,1,5,1,4,1,3,3,1
2680,John McNaughton,Robert Wagner,Bill Murray,wild things,14275,Jeff Perry,English,USA,R,6.5,1805,1998,Thriller|Drama|Mystery|Crime,20000000,Wild Things,13.924623,67200000.0,Wild Things,1,5,1,4,1,23,6,1
2681,Stephen Frears,Lili Taylor,Drake Bell,high fidelity,3141,Lisa Bonet,English,UK,R,7.6,3481,2000,Drama|Comedy|Music|Romance,30000000,High Fidelity,8.524956,47126295.0,High Fidelity,1,5,2,4,6,3,6,2
2682,Eric Valette,Jason Beghe,Johnny Lewis,one missed call,1834,Margaret Cho,English,Japan,PG-13,3.9,57520,2008,Horror|Mystery|Thriller,0,着信アリ,6.703174000000001,0.0,One Missed Call,1,5,16,1,1,1,1,1
2684,John Schlesinger,Beverly D'Angelo,Joe Mantegna,eye for an eye,3174,Philip Baker Hall,English,USA,R,6.1,61,1996,Thriller|Drama|Crime,20000000,Eye for an Eye,4.733526,0.0,Eye for an Eye,1,5,1,4,2,6,6,7
2690,Michel Gondry,Kirsten Dunst,Kate Winslet,eternal sunshine of the spotless mind,19364,Tom Wilkinson,English,USA,R,8.3,7361,2004,Fantasy|Drama|Sci-Fi|Romance,20000000,Eternal Sunshine of the Spotless Mind,12.906327000000001,72258126.0,Eternal Sunshine of the Spotless Mind,1,5,1,4,2,17,22,15
2691,Andy Fickman,James Wolk,Jamie Lee Curtis,you again,4813,Christine Lakin,English,USA,PG,5.8,80858,2010,Family|Comedy|Romance,20000000,You Again,12.820452000000001,32005248.0,You Again,1,5,1,2,4,9,2,2
2692,David Ayer,Chris Evans,Keanu Reeves,street kings,33878,Noel Gugliemi,English,USA,R,6.8,59016,2008,Action|Drama|Crime|Thriller,20000000,Street Kings,13.246795,65569869.0,Street Kings,1,5,1,4,5,13,9,4
2693,Andrew Fleming,Laura Harring,Kay Panabaker,nancy drew,3327,Tate Donovan,English,USA,PG,5.9,53466,2007,Mystery|Romance|Family|Thriller|Crime|Adventure|Comedy,0,Nancy Drew,5.172308,0.0,Nancy Drew,1,5,1,2,3,2,4,4
2695,Michael Spierig,Damien Garvey,Jay Laga'aia,daybreakers,189,Tiffany Lamb,English,Australia,R,6.5,73268,2010,Sci-Fi|Thriller|Action|Horror|Drama,20000000,Daybreakers,10.038613,51416464.0,Daybreakers,1,5,5,4,1,1,2,1
2696,Jim Field Smith,Kim Shaw,Mike Vogel,she's out of my league,5707,Geoff Stults,English,USA,R,6.4,74946,2010,Comedy|Romance,20000000,She's Out of My League,8.101247,49779728.0,She's Out of My League,1,5,1,4,1,5,2,5
2697,Thomas Bezucha,Luke Bracey,Leighton Meester,monte carlo,4257,Brett Cullen,English,Hungary,PG,5.8,84125,1930,Romance|Family|Adventure|Comedy|Musical,0,Monte Carlo,0.591217,0.0,Monte Carlo,1,1,26,2,1,3,2,1
2701,William Brent Bell,Frankie Muniz,Adam Goldberg,stay alive,3590,Samaire Armstrong,English,USA,PG-13,5.1,44731,2006,Horror|Sci-Fi|Thriller,9000000,Stay Alive,4.854551,27105095.0,Stay Alive,1,5,1,1,2,6,7,2
2702,Simon Wincer,Tom Selleck,Alan Rickman,quigley down under,45841,Ben Mendelsohn,English,Australia,PG-13,6.8,26750,1990,Romance|Action|Adventure|Western|Drama,0,Quigley Down Under,12.620366,0.0,Quigley Down Under,1,4,5,1,3,9,3,7
2703,Anthony Bell,Larry Miller,Kevin Sussman,alpha and omega,2486,Christine Lakin,English,USA,PG,5.3,88468,2010,Children|Romance|Family|Animation|Adventure|Comedy,20000000,Alpha and Omega,8.16645,39300000.0,Alpha and Omega,1,5,1,2,1,6,9,2
2704,Jessica Bendinger,Vanessa Lengies,Jeff Bridges,stick it,14903,John Patrick Amedori,English,Germany,PG-13,6.4,45221,2006,Drama|Comedy|Sport,0,Stick It,7.255225,0.0,Stick It,1,5,6,1,1,14,2,1
2705,Robert Rodriguez,Leo Howard,Jimmy Bennett,shorts,88422,Jake Short,English,USA,PG,4.9,71821,2009,Family|Children|Comedy|Fantasy,40000000,Shorts,4.0219830000000005,28972508.0,Shorts,1,5,1,2,6,7,2,1
2706,Gus Van Sant,Wayne Knight,Kurtwood Smith,to die for,3598,Holland Taylor,English,USA,R,6.8,45,1995,Thriller|Crime|Drama|Comedy,20000000,To Die For,10.448481,21284514.0,To Die For,1,5,1,4,7,7,6,3
2707,Ed Harris,James Gammon,Viggo Mortensen,appaloosa,10507,Tom Bower,English,USA,R,6.8,61986,2008,Drama|Crime|Western,20000000,Appaloosa,12.392754,20211394.0,Appaloosa,1,5,1,4,2,12,2,1
2708,John Carpenter,Cary-Hiroyuki Tagawa,Sheryl Lee,vampires,5123,Maximilian Schell,English,USA,R,6.1,2328,1998,Action|Western|Horror|Thriller,20000000,Vampires,13.318722,0.0,Vampires,1,5,1,4,8,1,6,2
2712,Alfred Hitchcock,Vera Miles,Janet Leigh,psycho,1885,John Gavin,English,USA,R,8.5,1219,1960,Horror|Mystery|Crime|Thriller,806948,Psycho,36.826309,32000000.0,Psycho,1,3,1,4,7,2,1,1
2716,Howard Deutch,Taran Killam,Dane Cook,my best friend's girl,3301,Riki Lindhome,English,USA,R,5.9,62439,2008,Comedy|Romance,20000000,My Best Friend's Girl,14.114135999999998,36620508.0,My Best Friend's Girl,1,5,1,4,1,6,3,1
2718,Shana Feste,Bruce Greenwood,Alex Pettyfer,endless love,18760,Rhys Wakefield,English,USA,PG-13,6.3,5729,1981,Drama|Romance,0,Endless Love,5.786435,32492674.0,Endless Love,1,4,1,1,2,4,17,2
2724,Garry Marshall,Zachary Gordon,Hector Elizondo,georgia rule,4039,Jane Fonda,English,USA,R,5.9,53002,2007,Drama|Comedy|Romance,20000000,Georgia Rule,7.281642999999999,0.0,Georgia Rule,1,5,1,4,6,6,4,5
2725,Steve Rash,Adam Arkin,Mako,under the rainbow,1761,Billy Barty,English,USA,PG,5.4,3048,1981,Comedy,20000000,Under the Rainbow,0.69162,2297493.0,Under the Rainbow,1,4,1,2,2,8,3,1
2727,Richard Donner,John Wood,Matthew Broderick,ladyhawke,2251,Leo McKern,English,USA,PG-13,7.0,3479,1985,Romance|Adventure|Fantasy|Drama|Comedy,20000000,Ladyhawke,8.157587,18432000.0,Ladyhawke,1,4,1,1,10,9,1,1
2728,Mark Steven Johnson,Jan Hooks,Oliver Platt,simon birch,1816,Dana Ivey,English,USA,PG,6.9,2236,1998,Family|Drama|Comedy,20000000,Simon Birch,2.651408,18253415.0,Simon Birch,1,5,1,2,3,20,1,3
2729,Mike Binder,Don Cheadle,Adam Sandler,reign over me,17050,John de Lancie,English,USA,R,7.5,51931,2007,Drama,20000000,Reign Over Me,10.027137,22222308.0,Reign Over Me,1,5,1,4,2,19,12,4
2730,Sean Penn,William Hurt,Kristen Stewart,into the wild,18752,Hal Holbrook,English,USA,R,8.2,55247,2007,Adventure|Drama|Biography|Action,15000000,Into the Wild,15.423538,56255142.0,Into the Wild,1,5,1,4,1,12,10,7
2731,Todd Phillips,Sarah Silverman,Jon Heder,school for scoundrels,4374,Jacinda Barrett,English,USA,PG-13,5.9,7818,1960,Comedy,0,School for Scoundrels,1.332883,0.0,School for Scoundrels,1,3,1,1,5,7,6,3
2735,Michael J. Bassett,Deborah Kara Unger,Radha Mitchell,silent hill: revelation 3d,2173,Martin Donovan,English,France,R,5.0,97785,2012,Mystery|Thriller|Adventure|Horror|Drama,20000000,Silent Hill: Revelation 3D,5.745206,52302796.0,Silent Hill: Revelation 3D,1,5,8,4,1,8,5,2
2736,Robert Rodriguez,Salma Hayek,Quentin Tarantino,from dusk till dawn,23296,Cheech Marin,English,USA,R,7.3,70,1996,Thriller|Crime|Fantasy|Action|Horror|Comedy,19000000,From Dusk Till Dawn,15.339153,25836616.0,From Dusk Till Dawn,1,5,1,4,6,3,14,8
2737,Frank Nissen,Brenda Blethyn,Kath Soucie,pooh's heffalump movie,861,John Fiedler,English,USA,G,6.4,31687,2005,Children|Mystery|Animation|Family|Fantasy,0,Pooh's Heffalump Movie,10.096263,0.0,Pooh's Heffalump Movie,1,5,1,3,1,1,6,2
2738,Jodie Foster,Holly Hunter,Robert Downey Jr.,home for the holidays,25263,Steve Guttenberg,English,USA,PG-13,6.6,57,1995,Drama|Comedy|Romance,0,Home for the Holidays,8.416802,17519169.0,Home for the Holidays,1,5,1,1,1,20,9,4
2740,Alejandro G. Iñárritu,Eddie Marsan,Naomi Watts,21 grams,7567,Danny Huston,English,USA,R,7.7,6953,2003,Mystery|Romance|Thriller|Crime|Drama,20000000,21 Grams,6.372278,60427839.0,21 Grams,1,5,1,4,3,14,10,5
2741,Paul Abascal,Tom Hollander,Cole Hauser,paparazzi,2915,Kelly Carlson,English,USA,PG-13,5.8,8835,2004,Action|Drama|Crime|Thriller,20000000,Paparazzi,12.553403,16605763.0,Paparazzi,1,5,1,1,1,7,3,1
2743,Amy Heckerling,Robert Miano,Andy Dick,loser,1189,Zak Orth,English,USA,PG-13,5.3,1107,1991,Comedy|Romance,0,Loser,6.2449010000000005,0.0,Loser,1,4,1,1,4,1,1,1
2745,Michael Moore,Michael Moore,Ronald Reagan,capitalism: a love story,2327,Bernie Sanders,English,USA,R,7.4,71450,2009,News|Crime|Documentary,20000000,Capitalism: A Love Story,6.032166,17436509.0,Capitalism: A Love Story,1,5,1,4,5,1,5,1
2746,Jason Friedberg,Tony Cox,Carmen Electra,disaster movie,2857,Ike Barinholtz,English,USA,PG-13,1.9,61348,2008,Comedy,25000000,Disaster Movie,11.634132000000001,14109284.0,Disaster Movie,1,5,1,1,4,9,4,2
2747,Nimród Antal,Fred Ward,Andrew Fiscella,armored,137712,Lorna Raver,English,USA,PG-13,5.7,72762,2009,Action|Drama|Crime|Thriller,20000000,Armored,9.951661999999999,22942221.0,Armored,1,5,1,1,2,2,5,1
2748,Mark Mylod,Ari Graynor,Chris Evans,what's your number?,15713,Ed Begley Jr.,English,USA,R,6.0,90576,2011,Comedy|Romance,20000000,What's Your Number?,6.958086,30426096.0,What's Your Number?,1,5,1,4,1,9,4,6
2749,James Mather,Vincent Regan,Joseph Gilgun,lockout,1414,Jacky Ido,English,France,PG-13,6.1,93563,2012,Action|Sci-Fi|Thriller|Adventure,20000000,Lockout,8.772263,32204030.0,Lockout,1,5,8,1,1,3,3,1
2750,Barry Levinson,Ariel Gade,Amy Poehler,envy,1189,Sam Lerner,English,USA,PG-13,4.8,7448,2004,Comedy,40000000,Envy,13.094205,0.0,Envy,1,5,1,1,12,12,2,1
2752,Mark Neveldine,Clifton Collins Jr.,Jason Statham,crank: high voltage,30541,David Carradine,English,USA,R,6.2,68205,2009,Sci-Fi|Thriller|Crime|Action|Comedy,20000000,Crank: High Voltage,10.044642,34560577.0,Crank: High Voltage,1,5,1,4,4,15,8,6
2753,Woody Allen,Chazz Palminteri,Jim Broadbent,bullets over broadway,4302,Dianne Wiest,English,USA,R,7.5,348,1994,Crime|Comedy,0,Bullets Over Broadway,5.72288,0.0,Bullets Over Broadway,1,4,1,4,20,20,9,8
2754,Michael O. Sajbel,Tiffany Dupont,James Callis,one night with the king,908,Nimrat Kaur,English,USA,PG,6.3,48600,2006,Drama|History|Biography,20000000,One Night with the King,3.660528,13391174.0,One Night with the King,1,5,1,2,1,1,1,2
2755,Walter Hill,Wes Studi,Fisher Stevens,undisputed,2880,Jon Seda,English,USA,R,6.1,5531,2002,Action|Drama|Crime|Sport,20000000,Undisputed,13.35278,12398628.0,Undisputed,1,5,1,4,4,8,4,3
2756,David Koepp,Dequina Moore,Aasif Mandvi,ghost town,500,Jordan Carlos,English,USA,PG-13,6.7,61729,2008,Fantasy|Drama|Comedy|Romance,0,Ghost Town,12.994773,0.0,Ghost Town,1,5,1,1,5,2,1,1
2757,Renny Harlin,Ashley Scott,Taylor Cole,12 rounds,2799,Nick Gomez,English,USA,PG-13,5.6,70361,2009,Action|Crime|Thriller,20000000,12 Rounds,13.591485,17280326.0,12 Rounds,1,5,1,1,10,1,4,1
2758,Matt Reeves,Dylan Minnette,Chloë Grace Moretz,let me in,20258,Kodi Smit-McPhee,English,UK,R,7.2,80831,2010,Fantasy|Drama|Mystery|Horror,20000000,Let Me In,11.11946,24145613.0,Let Me In,1,5,2,4,3,9,3,3
2759,Charles T. Kanganis,Dustin Nguyen,Victor Wong,3 ninjas kick back,1151,Don Stark,English,USA,PG,4.3,4749,1994,Action|Children|Comedy|Family,0,3 Ninjas Kick Back,3.775127,0.0,3 Ninjas Kick Back,1,4,1,2,1,4,1,1
2760,Michel Gondry,Mia Farrow,Quinton Aaron,be kind rewind,1778,Melonie Diaz,English,UK,PG-13,6.4,55830,2008,Comedy,0,Be Kind Rewind,4.848692,0.0,Be Kind Rewind,1,5,2,1,2,2,4,3
2761,Woody Allen,Lynn Cohen,Woody Allen,deconstructing harry,11867,Judy Davis,English,USA,R,7.4,1701,1997,Drama|Comedy,20000000,Deconstructing Harry,6.280515,10686841.0,Deconstructing Harry,1,5,1,4,20,9,2,2
2762,Damon Santostefano,Oliver Platt,Matthew Perry,three to tango,4843,David Ramsey,English,Australia,PG-13,6.1,2978,1999,Comedy|Romance,20000000,Three to Tango,5.594358000000001,0.0,Three to Tango,1,5,5,1,1,3,20,1
2763,Neil Jordan,Demi Moore,Robert De Niro,we're no angels,24887,James Russo,English,USA,PG-13,6.0,2264,1989,Crime|Comedy,20000000,We're No Angels,14.348459,0.0,We're No Angels,1,4,1,1,4,41,9,2
2767,Woody Allen,Gaby Hoffmann,Natasha Lyonne,everyone says i love you,1614,Jeff DeRocker,English,USA,R,6.8,1057,1996,Comedy|Romance|Musical,20000000,Everyone Says I Love You,9.649113,0.0,Everyone Says I Love You,1,5,1,4,20,8,6,1
2768,James Wan,Kelly Preston,Aisha Tyler,death sentence,3309,Edi Gathegi,English,USA,R,6.8,54787,2007,Action|Drama|Crime|Thriller,20000000,Death Sentence,6.612175,16974459.0,Death Sentence,1,5,1,4,4,1,9,3
2770,Kirk Jones,James Frain,Robert De Niro,everybody's fine,23409,Brendan Sexton III,English,USA,PG-13,7.2,72741,2009,Adventure|Drama,0,Stanno tutti bene,1.263396,0.0,Everybody's Fine,1,5,1,1,3,41,8,3
2773,Bob Clark,Vanessa Angel,Scott Baio,superbabies: baby geniuses 2,1343,Peter Wingfield,English,Germany,PG,1.9,8859,2004,Family|Sci-Fi|Comedy,0,Superbabies: Baby Geniuses 2,7.538821,9109322.0,Superbabies: Baby Geniuses 2,1,5,6,2,3,1,1,1
2774,Les Mayfield,Will Patton,Callum Rennie,code name: the cleaner,2700,Cedric the Entertainer,English,USA,PG-13,4.5,50153,2007,Action|Crime|Comedy,20000000,Code Name: The Cleaner,11.107148,10337477.0,Code Name: The Cleaner,1,5,1,1,4,8,4,8
2775,Michael Lembeck,Nia Vardalos,Debbie Reynolds,connie and carla,2730,Dash Mihok,English,USA,PG-13,6.3,7437,2004,Crime|Music|Comedy,20000000,Connie and Carla,9.502332000000001,11341016.0,Connie and Carla,1,5,1,1,1,4,4,3
2776,Bob Fosse,Ricardo Montalban,Sammy Davis Jr.,sweet charity,2172,Ben Vereen,English,USA,G,7.0,6245,1969,Romance|Music|Drama|Comedy|Musical,8000000,Sweet Charity,0.537378,20000000.0,Sweet Charity,1,3,1,3,2,1,1,2
2777,Paul Thomas Anderson,Katherine Waterston,Martin Dew,inherent vice,707,Serena Scott Thomas,English,USA,R,6.7,116799,2014,Mystery|Romance|Crime|Drama|Comedy,20000000,Inherent Vice,13.52638,11110975.0,Inherent Vice,1,5,1,4,5,1,2,1
2778,Dave Borthwick,Kylie Minogue,Jimmy Fallon,doogal,2185,Jon Stewart,English,USA,G,2.8,43926,2006,Children|Family|Animation|Adventure|Fantasy|Comedy,0,Doogal,2.524859,0.0,Doogal,1,5,1,3,1,4,3,1
2779,Benson Lee,Caity Lotz,Chris Brown,battle of the year,3177,Laz Alonso,English,USA,PG-13,5.0,105086,2013,Drama|Music|Musical,20000000,Battle of the Year,5.0739,16549477.0,Battle of the Year,1,5,1,1,1,4,1,6
2780,Glen Morgan,Ty Olsson,Laura Harring,willard,1267,Jackie Burroughs,English,Canada,PG-13,6.2,6220,2003,Horror|Drama|Sci-Fi|Thriller,22000000,Willard,4.109477,0.0,Willard,1,5,4,1,2,4,2,1
2784,Fred Wolf,Ashley Scott,Kevin Alejandro,strange wilderness,4218,Jeff Garlin,English,USA,R,5.3,57536,2008,Adventure|Comedy,0,Strange Wilderness,5.024661,6575282.0,Strange Wilderness,1,5,1,4,1,1,4,5
2785,Mike Leigh,Dexter Fletcher,Jim Broadbent,topsy-turvy,1690,Lesley Manville,English,UK,R,7.4,3163,1999,History|Music|Biography|Drama|Comedy|Musical,0,Topsy-Turvy,5.902126,0.0,Topsy-Turvy,1,5,2,4,5,20,4,3
2786,Michael Apted,Abigail Spencer,Gerard Butler,chasing mavericks,21200,Leven Rambin,English,USA,PG,7.2,97832,2012,Drama|Biography|Sport,0,Chasing Mavericks,8.965733,0.0,Chasing Mavericks,1,5,1,2,4,20,3,3
2787,Uwe Boll,Darren Shahlavi,Catherine Lough Haggquist,alone in the dark,838,Karin Konoval,English,Canada,R,2.3,5918,1982,Horror|Sci-Fi,20000000,Alone in the Dark,1.057387,8178569.0,Alone in the Dark,1,4,4,4,4,1,1,1
2791,Todd Graff,Charlie Saxton,Scott Porter,bandslam,1573,Ryan Donowho,English,USA,PG,6.4,70643,2009,Romance|Family|Music|Drama|Comedy|Musical,20000000,Bandslam,5.7570559999999995,5210988.0,Bandslam,1,5,1,2,2,6,1,2
2792,Jonathan Glazer,Anne Heche,Cameron Bright,birth,2295,Danny Huston,English,USA,R,6.1,8959,2004,Thriller|Drama|Mystery|Romance,20000000,Birth,6.771414999999999,0.0,Birth,1,5,1,4,3,5,7,5
2793,J.C. Chandor,Ashley Williams,David Oyelowo,a most violent year,3979,Albert Brooks,English,USA,R,7.0,118898,2014,Action|Drama|Crime|Thriller,20000000,A Most Violent Year,17.187707999999997,12007070.0,A Most Violent Year,1,5,1,4,3,6,3,8
2794,Paul Gross,Michael Greyeyes,Landon Liboiron,passchendaele,3493,Caroline Dhavernas,English,Canada,R,6.5,66015,2008,History|Romance|Action|Drama|War,0,Passchendaele,2.490144,0.0,Passchendaele,1,5,4,4,2,1,2,2
2795,Marc Abraham,Bill Lake,Dylan Authors,flash of genius,64,Victoria Learn,English,USA,PG-13,7.0,62577,2008,Drama|Biography,0,Flash of Genius,3.250891,0.0,Flash of Genius,1,5,1,1,1,1,1,1
2796,Charlie Kaufman,Jennifer Jason Leigh,Philip Seymour Hoffman,"synecdoche, new york",24732,Samantha Morton,English,USA,R,7.5,62511,2008,Drama|Comedy|Romance,21000000,"Synecdoche, New York",6.295807,0.0,"Synecdoche, New York",1,5,1,4,1,18,9,9
2797,Jean-Paul Rappeneau,Peter Coyote,Isabelle Adjani,bon voyage,1776,Virginie Ledoyen,French,France,PG-13,6.9,8779,2003,Mystery|Romance|Thriller|Drama|War|Comedy,0,Bon voyage,2.445568,0.0,Bon voyage,2,5,8,1,1,3,6,1
2798,Nancy Walker,Randy Jones,Steve Guttenberg,can't stop the music,1462,Caitlyn Jenner,English,USA,PG,4.5,4831,1980,Comedy|Biography|Musical,0,Can't Stop the Music,5.389616,0.0,Can't Stop the Music,1,4,1,2,1,4,1,1
2799,Richard Benjamin,Jane Krakowski,Damon Wayans,marci x,2467,Paula Garcés,English,USA,R,2.8,6685,2003,Music|Comedy|Musical,20000000,Marci X,4.15656,1675706.0,Marci X,1,5,1,4,3,1,6,2
2800,Kurt Wimmer,Emily Watson,Christian Bale,equilibrium,25088,Sean Pertwee,English,USA,R,7.5,5903,2002,Action|Drama|Sci-Fi|Thriller,20000000,Equilibrium,12.671636999999999,5359645.0,Equilibrium,1,5,1,4,2,17,7,5
2801,Angelina Jolie Pitt,Angelina Jolie Pitt,Brad Pitt,by the sea,22319,Melvil Poupaud,English,USA,R,5.3,116092,1915,Drama|Comedy|Romance,0,By the Sea,0.577051,0.0,By the Sea,1,1,1,4,3,24,19,1
2804,Andrew Jarecki,Kirsten Dunst,Ryan Gosling,all good things,39515,Frank Langella,English,USA,R,6.3,82378,2010,Mystery|Romance|Thriller|Crime|Drama,0,All Good Things,11.691146,0.0,All Good Things,1,5,1,4,1,10,22,10
2805,Kevin Reynolds,Jason Scott Lee,Esai Morales,rapa nui,1592,Sandrine Holt,English,USA,R,6.4,8585,1994,History|Romance|Action|Adventure|Drama,20000000,Rapa Nui,7.180346000000001,305070.0,Rapa Nui,1,4,1,4,4,1,3,3
2806,Kevin Munroe,Laura Spencer,Marco St. John,dylan dog: dead of night,1577,Anita Briem,English,USA,PG-13,5.1,88380,2010,Sci-Fi|Mystery|Thriller|Crime|Action|Horror|Fantasy|Comedy,20000000,Dylan Dog: Dead of Night,12.763976,4634062.0,Dylan Dog: Dead of Night,1,5,1,1,1,1,1,2
2807,Daniel Algrant,Richard Schiff,Al Pacino,people i know,15612,Mark Webber,English,USA,R,5.5,6330,2002,Drama|Mystery|Crime,20000000,People I Know,5.7578949999999995,0.0,People I Know,1,5,1,4,1,12,7,5
2808,Mike Barker,Nicholas Lea,Gerard Butler,shattered,20472,Callum Rennie,English,UK,R,6.7,6476,1991,Thriller|Drama|Mystery|Crime,22000000,Shattered,6.851939,11511031.0,Shattered,1,4,2,4,1,20,2,8
2809,Kevin Costner,Michael Spears,Mary McDonnell,dances with wolves,2398,Maury Chaykin,English,USA,PG-13,8.0,590,1990,Adventure|Drama|Western,22000000,Dances with Wolves,11.654349,424208848.0,Dances with Wolves,1,4,1,1,2,3,1,5
2810,Jake Kasdan,John Michael Higgins,Justin Timberlake,bad teacher,5547,Phyllis Smith,English,USA,R,5.7,87485,2011,Comedy,20000000,Bad Teacher,7.3106860000000005,216197492.0,Bad Teacher,1,5,1,4,4,9,8,1
2811,Harold Becker,Michael O'Neill,Al Pacino,sea of love,15914,Ellen Barkin,English,USA,R,6.8,4661,1989,Thriller|Drama|Mystery|Crime,19000000,Sea of Love,9.801967,110879513.0,Sea of Love,1,4,1,4,4,12,6,5
2812,Wes Craven,W. Earl Brown,David Arquette,scream,1212,Roger Jackson,English,USA,R,7.2,1407,1996,Horror|Mystery|Comedy|Thriller,14000000,Scream,13.326443,173046663.0,Scream,1,5,1,4,8,5,2,2
2813,Robert Zemeckis,Thomas F. Wilson,Lea Thompson,back to the future,3230,J.J. Cohen,English,USA,PG,8.5,1270,1985,Adventure|Sci-Fi|Comedy,19000000,Back to the Future,25.778509,381109762.0,Back to the Future,1,4,1,2,10,6,6,1
2814,William Malone,Peter Gallagher,Jeffrey Combs,house on haunted hill,2872,Bridgette Wilson-Sampras,English,USA,R,5.6,2519,1959,Horror|Drama|Mystery|Thriller,200000,House on Haunted Hill,5.738218,0.0,House on Haunted Hill,1,3,1,4,1,2,6,6
2818,Shawn Levy,David Agranov,Taran Killam,just married,2020,David Moscow,English,USA,PG-13,5.4,6006,2003,Comedy|Romance,18000000,Just Married,6.001151999999999,101564935.0,Just Married,1,5,1,1,9,3,1,1
2819,Britt Allcroft,Colm Feore,Mara Wilson,thomas and the magic railroad,2429,Peter Fonda,English,UK,G,3.6,3820,2000,Children|Family|Adventure|Fantasy|Drama|Comedy,0,Thomas and the Magic Railroad,1.046659,0.0,Thomas and the Magic Railroad,1,5,2,3,1,2,6,3
2820,Alan Yuen,Michael Wong,Andy Lau,firestorm,635,Terence Yin,Mandarin,China,missing,6.2,1744,1998,Action|Adventure|Crime|Thriller,19000000,Firestorm,1.537212,0.0,Firestorm,6,5,13,0,1,1,1,1
